heuristica,n,m,replicacao,tempo,iteracoes,valor,parametro
monotona,20,10,6,0.002518,1289,112,0.30
monotona,20,10,7,0.003037,1556,115,0.30
monotona,20,10,8,0.002482,1261,114,0.30
monotona,20,10,9,0.003263,1507,115,0.30
monotona,20,10,10,0.005244,2403,114,0.30
monotona,20,10,1,0.002383,1638,116,0.40
monotona,20,10,2,0.002748,1949,117,0.40
monotona,20,10,3,0.003926,2730,114,0.40
monotona,20,10,4,0.002753,2020,112,0.40
monotona,20,10,5,0.002106,1408,117,0.40
monotona,20,10,6,0.001408,1020,119,0.40
monotona,20,10,7,0.001893,1306,112,0.40
monotona,20,10,8,0.003165,2058,116,0.40
monotona,20,10,9,0.004439,2829,112,0.40
monotona,20,10,10,0.002289,1560,115,0.40
monotona,20,10,1,0.001738,1662,114,0.50
monotona,20,10,2,0.002727,2534,119,0.50
monotona,20,10,3,0.002814,2337,115,0.50
monotona,20,10,4,0.002121,1847,115,0.50
monotona,20,10,5,0.001055,1031,115,0.50
monotona,20,10,6,0.001296,1215,117,0.50
monotona,20,10,7,0.001908,1735,117,0.50
monotona,20,10,8,0.003646,3390,112,0.50
monotona,20,10,9,0.001442,1292,120,0.50
monotona,20,10,10,0.001943,1759,117,0.50
monotona,20,10,1,0.000864,1272,119,0.60
monotona,20,10,2,0.002494,3327,119,0.60
monotona,20,10,3,0.001206,1476,115,0.60
monotona,20,10,4,0.001014,1305,120,0.60
monotona,20,10,5,0.001412,1544,116,0.60
monotona,20,10,6,0.001757,2167,119,0.60
monotona,20,10,7,0.000786,1134,120,0.60
monotona,20,10,8,0.001365,1830,116,0.60
monotona,20,10,9,0.001685,2287,122,0.60
monotona,20,10,10,0.001136,1501,115,0.60
monotona,20,10,1,0.001058,2050,115,0.70
monotona,20,10,2,0.001364,2235,115,0.70
monotona,20,10,3,0.000855,1516,124,0.70
monotona,20,10,4,0.000831,1510,123,0.70
monotona,20,10,5,0.001040,2043,115,0.70
monotona,20,10,6,0.000765,1467,124,0.70
monotona,20,10,7,0.000878,1723,124,0.70
monotona,20,10,8,0.000773,1449,120,0.70
monotona,20,10,9,0.000498,1045,121,0.70
monotona,20,10,10,0.000935,1762,120,0.70
monotona,20,10,1,0.000687,2035,127,0.80
monotona,20,10,2,0.000633,1809,121,0.80
monotona,20,10,3,0.000378,1064,119,0.80
monotona,20,10,4,0.000639,1653,124,0.80
